SCALAR,SIMPLE,COMPLEX,VERY COMPLEX
4.02225,3.655958,3.586458,3.671959
3.072458,3.426500,4.070709,3.47875
3.566458,3.703458,3.873542,4.1165
3.693917,4.124708,4.229208,3.144042
3.83075,3.602667,4.229208,3.429916
4.193959,4.420959,4.006333,4.1175
3.316500,3.995666,4.917208,3.357667
3.757042,4.136583,3.656459,3.382500
4.163458,4.210792,4.111125,3.43325
3.94575,3.908458,4.219083,3.320375
3.895166,4.062083,3.522500,3.249791
4.332,4.183834,3.687500,4.066667
4.261125,4.291583,4.348458,3.296333
3.795291,3.654792,4.19225,3.535708
4.242375,3.564833,4.200834,3.440625
3.664125,3.369416,4.194917,4.077375
3.529041,4.130959,4.31225,3.963500
3.388333,4.569875,4.478459,3.746333
4.369375,4.279041,4.266458,3.804916
3.851875,4.157041,4.258417,3.548917
3.675541,3.476083,4.054417,4.139708
3.884875,4.134333,3.77500,3.196542
3.476917,3.613042,3.042959,4.766
3.332291,3.578,3.75875,3.847709
3.820916,3.688333,3.245917,4.465625
2.96775,3.886917,3.801666,3.756916
3.575542,4.238959,4.387292,4.543958
3.820916,4.055125,3.278833,3.949667
3.142,4.197917,3.856209,3.870041
3.811125,3.763542,3.792542,3.904666
